"","text","cleaned_text","hashtag","tagged_account"
"43","....We are substantially subsidizing the Militaries of many VERY rich countries all over the world while at the same time these countries take total advantage of the U.S. and our TAXPAYERS on Trade. General Mattis did not see this as a problem. I DO and it is being fixed!","We are substantially subsidizing the Militaries of many VERY rich countries all over the world while at the same time these countries take total advantage of the US and our TAXPAYERS on Trade General Mattis did not see this as a problem I DO and it is being fixed","",""
"44","To those few Senators who think I don’t like or appreciate being allied with other countries they are wrong I DO. What I don’t like however is when many of these same countries take advantage of their friendship with the United States both in Military Protection and Trade...","To those few Senators who think I dont like or appreciate being allied with other countries they are wrong I DO What I dont like however is when many of these same countries take advantage of their friendship with the United States both in Military Protection and Trade","",""
"45","Virtually every Democrat we are dealing with today strongly supported a Border Wall or Fence. It was only when I made it an important part of my campaign because people and drugs were pouring into our Country unchecked that they turned against it. Desperately needed!","Virtually every Democrat we are dealing with today strongly supported a Border Wall or Fence It was only when I made it an important part of my campaign because people and drugs were pouring into our Country unchecked that they turned against it Desperately needed","",""
"46","President @RT_Erdogan of Turkey has very strongly informed me that he will eradicate whatever is left of ISIS in Syria....and he is a man who can do it plus Turkey is right “next door.” Our troops are coming home!","President  of Turkey has very strongly informed me that he will eradicate whatever is left of ISIS in Syriaand he is a man who can do it plus Turkey is right next door Our troops are coming home","","@RT_Erdogan"
"47","“The President has been remarkable. I do not doubt that he will thrive in this new environment and he will be a constant reminder of what populism is.” Thank you to Tammy Bruce and Steve Hilton. Presidential Harassment has been with me from the beginning!","The President has been remarkable I do not doubt that he will thrive in this new environment and he will be a constant reminder of what populism is Thank you to Tammy Bruce and Steve Hilton Presidential Harassment has been with me from the beginning","",""
"48","The most important way to stop gangs drugs human trafficking and massive crime is at our Southern Border. We need Border Security and as EVERYONE knows you can’t have Border Security without a Wall. The Drones &amp; Technology are just bells and whistles. Safety for America!","The most important way to stop gangs drugs human trafficking and massive crime is at our Southern Border We need Border Security and as EVERYONE knows you cant have Border Security without a Wall The Drones amp Technology are just bells and whistles Safety for America","",""
"49","Mitch McConnell just told a group of people and me that he has been in the U.S. Senate for 32 years and the last two have been by far the best &amp; most productive of his career. Tax &amp; Regulation Cuts VA Choice Farm Bill Criminal Justice Reform Judgeships &amp; much more. Great!","Mitch McConnell just told a group of people and me that he has been in the US Senate for 32 years and the last two have been by far the best amp most productive of his career Tax amp Regulation Cuts VA Choice Farm Bill Criminal Justice Reform Judgeships amp much more Great","",""
"50","“It should not be the job of America to replace regimes around the world. This is what President Trump recognized in Iraq that it was the biggest foreign policy disaster of the last several decades and he’s right...The generals still don’t get the mistake.”  @RandPaul","It should not be the job of America to replace regimes around the world This is what President Trump recognized in Iraq that it was the biggest foreign policy disaster of the last several decades and hes rightThe generals still dont get the mistake  ","","@RandPaul"
"51","RT @RSScott_BP252: USBP Agents will continue to diligently do their sworn duites through the holidays and the furlough -JUST LIKE EVERY OTH…","RT  USBP Agents will continue to diligently do their sworn duites through the holidays and the furlough JUST LIKE EVERY OTH","","@RSScott_BP252:"
"52","Thanks @RandPaul  “I am very proud of the President. This is exactly what he promised and I think the people agree with him. We’ve been at war too long and in too many places...spent several trillion dollars on these wars everywhere. He’s different...that’s why he got elected.”","Thanks   I am very proud of the President This is exactly what he promised and I think the people agree with him Weve been at war too long and in too many placesspent several trillion dollars on these wars everywhere Hes differentthats why he got elected","","@RandPaul"
"53",".....Bob Corker was responsible for giving us the horrible Iran Nuclear Deal which I ended yet he badmouths me for wanting to bring our young people safely back home. Bob wanted to run and asked for my endorsement. I said NO and the game was over. #MAGA I LOVE TENNESSEE!","Bob Corker was responsible for giving us the horrible Iran Nuclear Deal which I ended yet he badmouths me for wanting to bring our young people safely back home Bob wanted to run and asked for my endorsement I said NO and the game was over  I LOVE TENNESSEE","#MAGA",""
"54","Senator Bob Corker just stated that “I’m so priveledged to serve in the Senate for twelve years and that’s what I told the people of our state that’s what I’d do serve for two terms.” But that is Not True - wanted to run but poll numbers TANKED when I wouldn’t endorse him.....","Senator Bob Corker just stated that Im so priveledged to serve in the Senate for twelve years and thats what I told the people of our state thats what Id do serve for two terms But that is Not True  wanted to run but poll numbers TANKED when I wouldnt endorse him","",""
