"","text","cleaned_text","hashtag","tagged_account","filtered"
"3319","Unprecedented success for our Country in so many ways since the Election. Record Stock Market Strong on Military Crime Borders &amp; ISIS Judicial Strength &amp; Numbers Lowest Unemployment for Women &amp; ALL Massive Tax Cuts end of Individual Mandate - and so much more. Big 2018!","Unprecedented success for our Country in so many ways since the Election Record Stock Market Strong on Military Crime Borders amp ISIS Judicial Strength amp Numbers Lowest Unemployment for Women amp ALL Massive Tax Cuts end of Individual Mandate  and so much more Big ","","","unprecedented success   country   many ways since  election record stock market strong  military crime borders amp isis judicial strength amp numbers lowest unemployment  women amp  massive tax cuts end  individual mandate    much  big "
"3320","Beautiful weather all over our great country a perfect day for all Women to March. Get out there now to celebrate the historic milestones and unprecedented economic success and wealth creation that has taken place over the last 12 months. Lowest female unemployment in 18 years!","Beautiful weather all over our great country a perfect day for all Women to March Get out there now to celebrate the historic milestones and unprecedented economic success and wealth creation that has taken place over the last  months Lowest female unemployment in  years","","","beautiful weather    great country  perfect day   women  march get     celebrate  historic milestones  unprecedented economic success  wealth creation   taken place   last  months lowest female unemployment   years"
"3321","Democrats are holding our Military hostage over their desire to have unchecked illegal immigration. Can’t let that happen!","Democrats are holding our Military hostage over their desire to have unchecked illegal immigration Cant let that happen","","","democrats  holding  military hostage   desire   unchecked illegal immigration cant let  happen"
"3322","#AMERICA FIRST!"," FIRST","#AMERICA",""," first"
"3323","For those asking the Republicans only have 51 votes in the Senate and they need 60. That is why we need to win more Republicans in 2018 Election! We can then be even tougher on  Crime (and Border) and even better to our Military &amp; Veterans!","For those asking the Republicans only have  votes in the Senate and they need  That is why we need to win more Republicans in  Election We can then be even tougher on  Crime and Border and even better to our Military amp Veterans","","","  asking  republicans    votes   senate   need      need  win  republicans   election     even tougher   crime  border  even better   military amp veterans"
"3324","This is the One Year Anniversary of my Presidency and the Democrats wanted to give me a nice present. #DemocratShutdown","This is the One Year Anniversary of my Presidency and the Democrats wanted to give me a nice present ","#DemocratShutdown","","   one year anniversary   presidency   democrats wanted  give   nice present "
"3325","Democrats are far more concerned with Illegal Immigrants than they are with our great Military or Safety at our dangerous Southern Border. They could have easily made a deal but decided to play Shutdown politics instead. #WeNeedMoreRepublicansIn18 in order to power through mess!","Democrats are far more concerned with Illegal Immigrants than they are with our great Military or Safety at our dangerous Southern Border They could have easily made a deal but decided to play Shutdown politics instead  in order to power through mess","#WeNeedMoreRepublicansIn18","","democrats  far  concerned  illegal immigrants      great military  safety   dangerous southern border  could  easily made  deal  decided  play shutdown politics instead   order  power  mess"
"3326","Not looking good for our great Military or Safety &amp; Security on the very dangerous Southern Border. Dems want a Shutdown in order to help diminish the great success of the Tax Cuts and what they are doing for our booming economy.","Not looking good for our great Military or Safety amp Security on the very dangerous Southern Border Dems want a Shutdown in order to help diminish the great success of the Tax Cuts and what they are doing for our booming economy","",""," looking good   great military  safety amp security    dangerous southern border dems want  shutdown  order  help diminish  great success   tax cuts        booming economy"
"3327","Excellent preliminary meeting in Oval with @SenSchumer - working on solutions for Security and our great Military together with @SenateMajLdr McConnell and @SpeakerRyan. Making progress - four week extension would be best!","Excellent preliminary meeting in Oval with   working on solutions for Security and our great Military together with  McConnell and  Making progress  four week extension would be best","","@SenSchumer, @SenateMajLdr, @SpeakerRyan.","excellent preliminary meeting  oval    working  solutions  security   great military together   mcconnell   making progress  four week extension would  best"
"3328","Just signed 702 Bill to reauthorize foreign intelligence collection. This is NOT the same FISA law that was so wrongly abused during the election. I will always do the right thing for our country and put the safety of the American people first!","Just signed  Bill to reauthorize foreign intelligence collection This is NOT the same FISA law that was so wrongly abused during the election I will always do the right thing for our country and put the safety of the American people first","",""," signed  bill  reauthorize foreign intelligence collection      fisa law    wrongly abused   election   always   right thing   country  put  safety   american people first"
"3329","Today I was honored and proud to address the 45th Annual @March_for_Life! You are living witnesses of this year’s March for Life theme: #LoveSavesLives. https://t.co/DMST4qhDmp","Today I was honored and proud to address the th Annual  You are living witnesses of this years March for Life theme  ","#LoveSavesLives.","@March_for_Life!","today   honored  proud  address  th annual    living witnesses   years march  life theme  "
"3330","“Shutting down the government is a very serious thing. People die accidents happen. I don’t know how I would vote right now on a CR OK?”Sen. Dianne Feinstein (D-Calif)https://t.co/7xP3CBnv5j","Shutting down the government is a very serious thing People die accidents happen I dont know how I would vote right now on a CR OKSen Dianne Feinstein DCalif","","","shutting   government    serious thing people die accidents happen  dont know   would vote right    cr oksen dianne feinstein dcalif"
"3331",".@WhiteHouse Briefing with Director Marc Short and Director Mick Mulvaney...https://t.co/0O0VsYXmHB"," Briefing with Director Marc Short and Director Mick Mulvaney","","@WhiteHouse"," briefing  director marc short  director mick mulvaney"
"3332","Government Funding Bill past last night in the House of Representatives. Now Democrats are needed if it is to pass in the Senate - but they want illegal immigration and weak borders. Shutdown coming? We need more Republican victories in 2018!","Government Funding Bill past last night in the House of Representatives Now Democrats are needed if it is to pass in the Senate  but they want illegal immigration and weak borders Shutdown coming We need more Republican victories in ","","","government funding bill past last night   house  representatives  democrats  needed     pass   senate    want illegal immigration  weak borders shutdown coming  need  republican victories  "
"3333","House of Representatives needs to pass Government Funding Bill tonight. So important for our country - our Military needs it!","House of Representatives needs to pass Government Funding Bill tonight So important for our country  our Military needs it","","","house  representatives needs  pass government funding bill tonight  important   country   military needs "
"3334","AMERICA will once again be a NATION that thinks big dreams bigger and always reaches for the stars. YOU are the ones who will shape America’s destiny. YOU are the ones who will restore our prosperity. And YOU are the ones who are MAKING AMERICA GREAT AGAIN! #MAGA https://t.co/f2abNK47II","AMERICA will once again be a NATION that thinks big dreams bigger and always reaches for the stars YOU are the ones who will shape Americas destiny YOU are the ones who will restore our prosperity And YOU are the ones who are MAKING AMERICA GREAT AGAIN  ","#MAGA","","america      nation  thinks big dreams bigger  always reaches   stars    ones   shape americas destiny    ones   restore  prosperity     ones   making america great   "
"3335","Departing Pittsburgh now where it was my great honor to stand with our incredible workers and to show the world that AMERICA is back - and we are coming back bigger and better and stronger than ever before! https://t.co/kWPgylqFzj","Departing Pittsburgh now where it was my great honor to stand with our incredible workers and to show the world that AMERICA is back  and we are coming back bigger and better and stronger than ever before ","","","departing pittsburgh      great honor  stand   incredible workers   show  world  america  back     coming back bigger  better  stronger  ever  "
"3336","A government shutdown will be devastating to our military...something the Dems care very little about!","A government shutdown will be devastating to our militarysomething the Dems care very little about","",""," government shutdown   devastating   militarysomething  dems care  little "
"3337","CHIP should be part of a long term solution not a 30 Day or short term extension!","CHIP should be part of a long term solution not a  Day or short term extension","","","chip   part   long term solution    day  short term extension"
